 SRR11617503	SRR11617504	SRR11617505	SRR11617506	SRR11617507	SRR11617508	SRR11617513	SRR11617514	SRR11617519	SRR11617520	SRR11617523	SRR11617524	SRR11617526	SRR11617527	SRR11617528
scig1.0061108	136	61	67	51	99	84	90	60	92	125	57	89	95	107	50
scig1.0071488	0	0	2	0	0	0	1	0	2	1	0	0	0	0	0
scig1.0061097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0060880	0	0	4	1	3	2	4	3	8	4	11	3	18	25	3
scig1.0060876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0060804	19	17	7	1	1	3	3	3	1	0	0	0	0	0	2
scig1.0060764	0	1	0	0	2	5	0	0	0	0	0	5	0	0	0
scig1.0060747	544	151	371	159	218	134	77	133	119	137	118	119	74	139	134
scig1.0060554	12	7	18	8	20	4	6	10	6	24	18	8	15	26	16
scig1.0060339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0060281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0060237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0060212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
scig1.0060206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
