 GW30948_IN	GW30948_OS	GW30948_OUT	GW30951_IN	GW30951_OS	GW30951_OUT	GW30956_IN	GW30956_OS	GW30956_OUT	GW30957_IN	GW30957_OS	GW30957_OUT	GW30959_IN	GW30959_OS	GW30959_OUT
scig1.0073376	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
scig1.0073301	2	0	0	0	0	2	0	0	0	0	0	3	0	1	0
scig1.0073080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0073053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0072995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0072841	236	712	58	168	648	290	140	639	92	129	644	123	139	229	98
scig1.0072798	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
scig1.0072755	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
scig1.0072703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0072661	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
scig1.0072415	1	0	0	0	2	2	2	4	0	0	1	1	1	1	2
scig1.0072302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0072270	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
scig1.0072133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0071925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0071879	13	18	6	23	4	22	3	14	2	6	9	14	7	3	12
scig1.0071843	1	1	0	1	5	4	0	1	4	1	0	1	2	0	1
scig1.0071830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0071806	0	1	0	3	4	3	2	2	0	0	4	1	1	1	0
scig1.0071618	24	17	39	175	50	311	76	73	114	107	32	227	84	84	76
scig1.0071569	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
scig1.0071566	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
scig1.0071549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0071532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0071516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0071363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0071193	0	4	0	0	3	2	0	2	1	0	0	1	0	0	1
scig1.0071058	8	5	1	10	5	28	6	15	4	4	12	4	8	1	0
scig1.0071035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0071018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0071010	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
scig1.0070998	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
scig1.0070737	0	1	0	0	4	0	0	1	0	0	0	0	0	1	0
scig1.0070425	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2
scig1.0070383	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
scig1.0070380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0070174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
